"","InitialInterestRate","ppp_treated","agriculture","mining","utilities","construction","manufacturing","wholesale_trade","retail_trade","transport_ware","information","finance_ins","real_estate","professional","admin_support","education","healthcare","arts_entertain","accommodation","other_services","public_admin","age_established","age_new","age_startup","age_changed_owner","processing_plp","processing_express","processing_7a_general","collateral","commit","pif","charge_off","cancelled","has_franchise","west","northeast","midwest","pct_black","pct_native","pct_asian","pct_pacific","pct_other","pct_multiracial","approval_month_index","regional_bank","community_bank","fintech","cdfi","other_institution","LMIIndicator","Race","ApprovalYearMonth","JobsSupported","GrossApproval","race_black","race_asian","race_native","race_white","race_unanswered","race_multi","race_pacific","race_puerto_rican","hispanic","not_hispanic","ethnicity_unanswered","log_approval_amount","zip_code"
"38983",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.8628021000564,0.18946789893117,2.58168091291708,0.0159095182308616,2.39076669414674,3.75898526200084,57,0,0,0,0,0,"N","Unanswered","2025-01",69,89000,0,0,0,0,1,0,0,0,0,0,1,11.3963916487143,"20002"
"38994",10.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,89.1618497109827,1.25807548452907,0.119007140428426,0.00425025501530092,0.0722543352601156,4.1822509350561,35,0,0,0,0,1,"Y","Unanswered","2023-03",10,1500000,0,0,0,0,1,0,0,0,0,0,1,14.2209756660724,"48204"
"39031",5.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,15.2622274602239,0.111962286387743,0.545079552150854,0,2.33942251031232,2.88450206246317,12,0,1,0,0,0,"N","Unanswered","2021-04",28,386000,0,0,0,0,1,0,0,0,0,0,1,12.863592648447,"72032"
"39042",5.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,6.63638489028423,0.0100197054206606,2.66190174008884,0,1.13556661434154,4.03126148091246,25,1,0,0,0,0,"N","Unanswered","2022-05",50,505000,0,0,0,0,1,0,0,0,0,0,1,13.1323137082575,"14626"
"39045",5.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,17.5950666136593,0.985567810948493,11.5032220486127,0.0221891439613169,14.6355895378186,7.94186444282135,8,1,0,0,0,0,"N","Unanswered","2020-12",16,380000,0,0,0,0,1,0,0,0,0,0,1,12.8479265317026,"77084"
"39060",5.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,3.66208451523747,0.563677358353335,2.37108153320241,0,2.08742453996654,1.50920066913957,7,0,1,0,0,0,"N","Unanswered","2020-11",28,339500,0,0,0,0,1,0,0,0,0,0,1,12.7352292259809,"72019"
"39075",4.75,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,14.8168171988297,0.53110291311538,2.11328075308485,0.179684518509096,24.9316244752576,6.34938303014884,20,0,1,0,0,0,"Y","White","2021-12",30,90000,0,0,0,1,0,0,0,0,0,1,0,11.4075649493124,"11717"
"39112",10.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0.335427537003514,0.0585667128101374,1.44819508039612,0.378021509956341,3.78553934618252,3.6098392077521,58,0,1,0,0,0,"N","Unanswered","2025-02",8,290000,0,0,0,0,1,0,0,0,0,0,1,12.5776362019627,"96161"
"39121",9.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.219311986966602,0.162917476032333,1.34093614888151,0,0.338367065605614,1.10909204837396,36,0,1,0,0,0,"N","White","2023-04",3,650000,0,0,0,1,0,0,0,0,0,1,0,13.3847276418718,"55374"
"39122",9.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.219311986966602,0.162917476032333,1.34093614888151,0,0.338367065605614,1.10909204837396,36,0,1,0,0,0,"N","Unanswered","2023-04",3,650000,0,0,0,0,1,0,0,0,0,1,0,13.3847276418718,"55374"
